ExtensionID,ExtensionURL,ExtensionName
camppjleccjaphfdbohjdohecfnoikec,https://chrome.google.com/webstore/detail/camppjleccjaphfdbohjdohecfnoikec,"Merlin - Ask AI to Research, Write & Review"
ofpnmcalabcbjgholdjcjblkibolbppb,https://chrome.google.com/webstore/detail/ofpnmcalabcbjgholdjcjblkibolbppb,"Monica: ChatGPT AI Assistant | DeepSeek, GPT-4o, Claude 3.5, o1 & More"
kbdgjeblabdabbhgmjpjeaeoemmfnkgd,https://chrome.google.com/webstore/detail/kbdgjeblabdabbhgmjpjeaeoemmfnkgd,Moviespapa - Unlimited Free Movies & Shows
fjoaledfpmneenckfbpdfhkmimnjocfa,https://chrome.google.com/webstore/detail/fjoaledfpmneenckfbpdfhkmimnjocfa,VPN for Chrome: Get a VPN proxy with NordVPN
hlgbcneanomplepojfcnclggenpcoldo,https://chrome.google.com/webstore/detail/hlgbcneanomplepojfcnclggenpcoldo,Perplexity - AI Companion
lgfflokdinmbpcjnhkdaiajfgalpnkcl,https://chrome.google.com/webstore/detail/lgfflokdinmbpcjnhkdaiajfgalpnkcl,Personal Crypto
egbpibkpckbdhmacfijknpecliodfcgh,https://chrome.google.com/webstore/detail/egbpibkpckbdhmacfijknpecliodfcgh,Pinger
gkcdaooannhlioejchebhpkllbcackig,https://chrome.google.com/webstore/detail/gkcdaooannhlioejchebhpkllbcackig,"PromptStorm - ChatGPT, Gemini, Claude Prompts"
jplgfhpmjnbigmhklmmbgecoobifkmpa,https://chrome.google.com/webstore/detail/jplgfhpmjnbigmhklmmbgecoobifkmpa,Proton VPN: Fast & Secure
npnbdojkgkbcdfdjlfdmplppdphlhhcf,https://chrome.google.com/webstore/detail/npnbdojkgkbcdfdjlfdmplppdphlhhcf,ProWritingAid: Grammar Checker & Paraphrasing Tool
iidnbdjijdkbmajdffnidomddglmieko,https://chrome.google.com/webstore/detail/iidnbdjijdkbmajdffnidomddglmieko,QuillBot: AI Writing and Grammar Checker Tool
jpgljfpmoofbmlieejglhonfofmahini,https://chrome.google.com/webstore/detail/jpgljfpmoofbmlieejglhonfofmahini,Residential VPN | Tuxler
abclobamlfjfbkgpkndggeainkjdhfec,https://chrome.google.com/webstore/detail/abclobamlfjfbkgpkndggeainkjdhfec,
oofgbpoabipfcfjapgnbbjjaenockbdp,https://chrome.google.com/webstore/detail/oofgbpoabipfcfjapgnbbjjaenockbdp,SetupVPN - Lifetime Free VPN
difoiogjjojoaoomphldepapgpbgkhkb,https://chrome.google.com/webstore/detail/difoiogjjojoaoomphldepapgpbgkhkb,"Sider: Chat with all AI models (DeepSeek, Gemini, Claude, etc.)"
nkklhdhlfknnhmmldffbofbbomlicpig,https://chrome.google.com/webstore/detail/nkklhdhlfknnhmmldffbofbbomlicpig,Snap VPN
dmgkiikdlhmpikkhpiplldicbnicmboc,https://chrome.google.com/webstore/detail/dmgkiikdlhmpikkhpiplldicbnicmboc,Spell checker and Grammar checker by Scribens
gofaiibillcpfajafckhoieamembimje,https://chrome.google.com/webstore/detail/gofaiibillcpfajafckhoieamembimje,Stay Awake: Keep Your Computer Awake
ffbkglfijbcbgblgflchnbphjdllaogb,https://chrome.google.com/webstore/detail/ffbkglfijbcbgblgflchnbphjdllaogb,CyberGhost VPN – Proxy for Chrome
mcglhmpnpongdigcmccjallgoinlklnj,https://chrome.google.com/webstore/detail/mcglhmpnpongdigcmccjallgoinlklnj,Steam Context Menu
ocabaebkfcojookdnihccpcngaaigfan,https://chrome.google.com/webstore/detail/ocabaebkfcojookdnihccpcngaaigfan,Steam Currency Converter
chnfggpncfadofhgkekcppnonikpgbjm,https://chrome.google.com/webstore/detail/chnfggpncfadofhgkekcppnonikpgbjm,Steam Powered
mjmabgdoainclinjecbkdancpamdiaih,https://chrome.google.com/webstore/detail/mjmabgdoainclinjecbkdancpamdiaih,Steam Profile Assistant
kdbmhfkmnlmbkgbabkdealhhbfhlmmon,https://chrome.google.com/webstore/detail/kdbmhfkmnlmbkgbabkdealhhbfhlmmon,SteamDB
ailoabdmgclmfmhdagmlohpjlbpffblp,https://chrome.google.com/webstore/detail/ailoabdmgclmfmhdagmlohpjlbpffblp,Surfshark VPN Extension
lieodnapokbjkkdkhdljlllmgkmdokcm,https://chrome.google.com/webstore/detail/lieodnapokbjkkdkhdljlllmgkmdokcm,Tampermonkey Editors
lcmhijbkigalmkeommnijlpobloojgfn,https://chrome.google.com/webstore/detail/lcmhijbkigalmkeommnijlpobloojgfn,Tampermonkey Legacy
dhdgffkkebhmkfjojejmpbldmpobfkfo,https://chrome.google.com/webstore/detail/dhdgffkkebhmkfjojejmpbldmpobfkfo,Tampermonkey
nnpnnpemnckcfdebeekibpiijlicmpom,https://chrome.google.com/webstore/detail/nnpnnpemnckcfdebeekibpiijlicmpom,VPNCity - Fast & Unlimited VPN | Unblocker
egjidjbpglichdcondbcbdnbeeppgdph,https://chrome.google.com/webstore/detail/egjidjbpglichdcondbcbdnbeeppgdph,Trust Wallet
omdakjcmkglenbhjadbccaookpfjihpa,https://chrome.google.com/webstore/detail/omdakjcmkglenbhjadbccaookpfjihpa,TunnelBear VPN
pinjghhmldainbadpbmjhcjefadbmnck,https://chrome.google.com/webstore/detail/pinjghhmldainbadpbmjhcjefadbmnck,Turn off sleep mode
mjnbclmflcpookeapghfhapeffmpodij,https://chrome.google.com/webstore/detail/mjnbclmflcpookeapghfhapeffmpodij,"UltraSurf Security, Privacy & Unblock VPN"
eppiocemhmnlbhjplcgkofciiegomcon,https://chrome.google.com/webstore/detail/eppiocemhmnlbhjplcgkofciiegomcon,Urban VPN Proxy
feeonheemodpkdckaljcjogdncpiiban,https://chrome.google.com/webstore/detail/feeonheemodpkdckaljcjogdncpiiban,Zuvu AI: The Ultimate AI Agent Sidebar for Google Search & Beyond
gjknjjomckknofjidppipffbpoekiipm,https://chrome.google.com/webstore/detail/gjknjjomckknofjidppipffbpoekiipm,VPN Free - Betternet Unlimited VPN Proxy
lneaocagcijjdpkcabeanfpdbmapcjjg,https://chrome.google.com/webstore/detail/lneaocagcijjdpkcabeanfpdbmapcjjg,Free VPN Proxy - VPNLY
bibjcjfmgapbfoljiojpipaooddpkpai,https://chrome.google.com/webstore/detail/bibjcjfmgapbfoljiojpipaooddpkpai,
ibmdbhboiekjjoadjahpnmmcgdmabbdf,https://chrome.google.com/webstore/detail/ibmdbhboiekjjoadjahpnmmcgdmabbdf,VPN Plus - Best VPN for Chrome
lnfdmdhmfbimhhpaeocncdlhiodoblbd,https://chrome.google.com/webstore/detail/lnfdmdhmfbimhhpaeocncdlhiodoblbd,VPN Proxy Master: Change IP for Chrome
nhnfcgpcbfclhfafjlooihdfghaeinfc,https://chrome.google.com/webstore/detail/nhnfcgpcbfclhfafjlooihdfghaeinfc,
epeigjgefhajkiiallmfblgglmdbhfab,https://chrome.google.com/webstore/detail/epeigjgefhajkiiallmfblgglmdbhfab,
pdgbckgdncnhihllonhnjbdoighgpimk,https://chrome.google.com/webstore/detail/pdgbckgdncnhihllonhnjbdoighgpimk,Wallet Guard: Protect Your Crypto
lpfemeioodjbpieminkklglpmhlngfcn,https://chrome.google.com/webstore/detail/lpfemeioodjbpieminkklglpmhlngfcn,WebChatGPT: ChatGPT with internet access
cgjocfhgfladicjlfichbiemaehfagch,https://chrome.google.com/webstore/detail/cgjocfhgfladicjlfichbiemaehfagch,WikiVPN - Free VPN
hnmpcagpplmpfojmgmnngilcnanddlhb,https://chrome.google.com/webstore/detail/hnmpcagpplmpfojmgmnngilcnanddlhb,Windscribe - Free Proxy and Ad Blocker
mhngpdlhojliikfknhfaglpnddniijfh,https://chrome.google.com/webstore/detail/mhngpdlhojliikfknhfaglpnddniijfh,WorkingVPN - The VPN that just works
lchfkoahaepmbengiebapcnoeahhkpll,https://chrome.google.com/webstore/detail/lchfkoahaepmbengiebapcnoeahhkpll,WPS Docs
kdpelmjpfafjppnhbloffcjpeomlnpah,https://chrome.google.com/webstore/detail/kdpelmjpfafjppnhbloffcjpeomlnpah,"WPS PDF - Read, Edit, Fill, Convert, and AI Chat PDF with Ease"
comnfhdcnamiakeikahbcbjldhbpmnhi,https://chrome.google.com/webstore/detail/comnfhdcnamiakeikahbcbjldhbpmnhi,WPS便签助手
hmjoaalgapkjmnccfciciojahchjojlf,https://chrome.google.com/webstore/detail/hmjoaalgapkjmnccfciciojahchjojlf,X-Crypto
immngomjofcbflgcckkfddnbpmjokbjh,https://chrome.google.com/webstore/detail/immngomjofcbflgcckkfddnbpmjokbjh,ZoogVPN - Free VPN for Chrome & Proxy
